"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 30 13:24:03 AZT 2021","Fri Apr 30 13:24:03 AZT 2021","264","Surefire suite","Surefire test","Tests","Tests","getBooksForUser","Add an user","Get books for current user"
"passed","Fri Apr 30 13:23:58 AZT 2021","Fri Apr 30 13:24:01 AZT 2021","3498","Surefire suite","Surefire test","Tests","Tests","GetBooksDataFromUIAndAPITest","GetBooksDataFromUIAndAPITest","Get books data from ui and api ,validate title,author and publisher."
"passed","Fri Apr 30 13:24:01 AZT 2021","Fri Apr 30 13:24:02 AZT 2021","536","Surefire suite","Surefire test","Tests","Tests","NegativeScenario","NegativeScenario","Tests user web service with dataprovider"
"passed","Fri Apr 30 13:24:04 AZT 2021","Fri Apr 30 13:24:04 AZT 2021","293","Surefire suite","Surefire test","Tests","Tests","authorizedUser","User is now authorized","Check user authorization"
"passed","Fri Apr 30 13:24:03 AZT 2021","Fri Apr 30 13:24:03 AZT 2021","268","Surefire suite","Surefire test","Tests","Tests","unauthorizedUser","User is not authorized","Check user authorization"
"passed","Fri Apr 30 13:23:57 AZT 2021","Fri Apr 30 13:23:57 AZT 2021","467","Surefire suite","Surefire test","Tests","Tests","GenerateTokenTest","GenerateTokenTest","Description: Generate Token main test, 3 iterations with validations"
"passed","Fri Apr 30 13:23:57 AZT 2021","Fri Apr 30 13:23:57 AZT 2021","275","Surefire suite","Surefire test","Tests","Tests","GenerateTokenTest","GenerateTokenTest","Description: Generate Token main test, 3 iterations with validations"
"passed","Fri Apr 30 13:23:57 AZT 2021","Fri Apr 30 13:23:58 AZT 2021","314","Surefire suite","Surefire test","Tests","Tests","GenerateTokenTest","GenerateTokenTest","Description: Generate Token main test, 3 iterations with validations"
"passed","Fri Apr 30 13:24:02 AZT 2021","Fri Apr 30 13:24:03 AZT 2021","511","Surefire suite","Surefire test","Tests","Tests","NegativeScenario","NegativeScenario","Tests user web service with dataprovider"
"passed","Fri Apr 30 13:23:48 AZT 2021","Fri Apr 30 13:23:56 AZT 2021","8302","Surefire suite","Surefire test","Tests","Tests","GOBTest","GOBTest","This test moves to book details page, grabs the isbn needed to access the query dynamically and then proceeds to graball the information in UI and Query. at the end of the execution it compared the two data sets in two different ways1st, by moving the Query information to the BookAPI POJO class and comparing its values to the Book POJO class that has UI Data stored in it, and 2nd, by directly accessing Query information with fluent and comparing it with Book POJO class UI data"
"passed","Fri Apr 30 13:24:03 AZT 2021","Fri Apr 30 13:24:04 AZT 2021","286","Surefire suite","Surefire test","Tests","Tests","generateToken","Generate Token","Authorize the user"
"passed","Fri Apr 30 13:24:02 AZT 2021","Fri Apr 30 13:24:02 AZT 2021","521","Surefire suite","Surefire test","Tests","Tests","NegativeScenario","NegativeScenario","Tests user web service with dataprovider"
